-15.2108,1.06551,-20.9085
-15.7697,0.815556,-20.8469
-14.6702,0.799547,-20.8358
-15.2861,2.14295,-20.9153
-15.5689,2.1132,-20.8894
-14.7491,2.13385,-20.8935
-14.1113,0.792294,-20.7307
-14.1336,2.07167,-20.7883
-15.4121,-3.44876,-20.3561
-15.8212,-3.48003,-20.3601
-14.7006,-2.74528,-20.4115
-14.3952,-2.86151,-20.2859
-15.7172,-1.71937,-20.5751
-16.1443,-2.95163,-20.3899
-16.1465,-1.71424,-20.5096
-15.2394,-1.72111,-20.6043
-14.6998,-1.72289,-20.5791
-14.0267,-1.81579,-20.4118
-13.783,-1.69931,-20.3302
-16.5843,-1.70328,-20.4054
-16.1929,-0.482516,-20.6458
-16.7202,-0.488781,-20.5253
-15.6579,-0.485189,-20.7105
-15.1252,-0.486002,-20.7257
-14.6068,-0.485182,-20.6947
-13.9744,-0.530692,-20.5799
-17.0803,-0.455919,-20.4185
-13.5988,-0.521083,-20.4762
-13.3259,-0.452447,-20.3722
-16.687,0.725769,-20.6763
-17.1093,0.71596,-20.5611
-17.5275,0.787432,-20.4297
-16.2503,0.902502,-20.7765
-13.6959,0.785727,-20.6205
-13.1633,0.781127,-20.4292
-12.978,0.789472,-20.3218
-17.1008,2.03138,-20.5779
-17.6341,2.1771,-20.3945
-16.6391,2.05208,-20.6911
-13.8254,2.11254,-20.7
-16.1097,2.20962,-20.7761
-13.3809,2.17209,-20.5136
-12.999,1.99317,-20.3237
-16.921,3.54535,-20.4285
-16.7397,3.48963,-20.4809
-16.0992,3.39957,-20.5984
-15.5717,3.39612,-20.6401
-14.6681,3.27976,-20.6662
-14.2873,3.3815,-20.5827
-13.6733,3.36998,-20.4182
-13.3007,3.07218,-20.3323
-15.0433,3.48216,-20.6219
-16.6951,3.96251,-20.3395
-16.0302,4.26634,-20.3548
-15.7678,4.3724,-20.3288
-15.2539,4.35757,-20.3105
-14.9153,4.24851,-20.3122
-14.2332,4.53051,-20.0034
-13.9195,3.97469,-20.2429
-14.6988,4.79172,-19.958
-18.107,-7.69389,-19.8796
-18.3766,-7.81104,-19.8073
-17.7116,-7.68741,-19.8805
-18.2402,-6.73908,-20.056
-18.6919,-6.85464,-19.9563
-17.6617,-6.79368,-20.0904
-17.2476,-7.912,-19.6993
-19.0279,-6.75475,-19.8534
-16.9847,-6.88554,-20.0324
-16.5258,-6.84647,-19.9737
-16.1479,-6.71334,-19.9216
-15.7429,-6.67186,-19.7999
-18.6421,-5.42382,-19.9624
-19.0017,-5.47207,-19.8111
-17.9791,-5.55729,-20.1269
-17.4901,-5.56834,-20.1891
-16.7865,-5.73663,-20.1876
-16.4131,-5.66032,-20.1726
-15.9442,-5.60204,-20.1186
-15.5929,-5.51919,-20.0621
-15.2982,-6.6354,-19.6291
-17.1086,-5.44138,-20.211
-15.1084,-5.51281,-19.9164
-14.7145,-5.46583,-19.7528
-16.7457,-5.3723,-20.2166
-16.2308,-5.40234,-20.1847
-14.3467,-5.38597,-19.5558
-18.4191,-4.27151,-19.8491
-18.1261,-4.1946,-19.9699
-17.4981,-4.28941,-20.1504
-17.0125,-4.24696,-20.2347
-16.633,-4.19639,-20.2784
-16.1532,-4.19536,-20.2967
-15.5911,-4.22332,-20.2551
-15.1091,-4.27641,-20.1567
-14.62,-4.26023,-20.003
-14.2044,-4.22208,-19.8134
-13.911,-4.15388,-19.6433
-18.0431,-2.78452,-19.7653
-17.5313,-3.14416,-20.0524
-17.3976,-4.05777,-20.1502
-14.6307,-3.48482,-20.179
-17.1095,-2.67344,-20.1805
-16.6146,-2.79314,-20.3133
-14.0378,-3.06216,-20.0454
-13.7312,-2.98638,-19.8936
-17.4752,-1.83967,-20.0636
-13.3899,-2.90821,-19.6818
-17.2248,-1.7453,-20.1853
-13.2323,-1.73036,-20.0165
-16.9972,-1.68824,-20.2794
-12.8239,-1.61178,-19.7416
-17.7152,-0.52612,-20.1658
-12.6785,-0.592224,-19.9055
-17.4699,-0.42513,-20.2854
-17.9677,-0.280232,-20.1169
-13.0584,-0.540273,-20.1871
-12.3044,-0.358272,-19.598
-18.5425,-0.474493,-19.8136
-18.6052,0.785827,-19.9932
-12.9566,-0.388083,-20.1572
-18.2028,0.846025,-20.1663
-12.7076,0.733098,-20.1289
-12.2961,0.872702,-19.7671
-17.9373,0.799668,-20.265
-18.5785,1.99475,-19.9996
-17.9361,2.0076,-20.2852
-12.6865,2.09896,-20.1033
-18.2133,2.29043,-20.1303
-12.2808,2.01163,-19.7096
-18.518,3.32752,-19.7261
-18.1028,3.44958,-19.9406
-17.4518,3.22911,-20.2903
-12.7613,3.52352,-19.7746
-12.4173,3.07546,-19.5835
-13.2363,3.50569,-20.1305
-17.775,4.25534,-19.7743
-17.5837,3.87782,-20.0238
-13.4631,4.47882,-19.7761
-13.1704,4.30357,-19.6948
-12.9001,4.12041,-19.5838
-17.5498,4.52297,-19.7521
-17.279,4.58558,-19.8333
-16.6423,4.67476,-19.9867
-16.0465,4.77061,-20.0522
-15.4961,4.82335,-20.0476
-15.1391,4.97942,-19.9026
-18.0018,-8.2705,-19.6105
-18.5371,-8.9135,-19.2528
-17.5591,-8.79772,-19.2945
-18.0985,-9.18979,-19.081
-19.1265,-8.23211,-19.475
-19.4739,-8.18507,-19.3837
-19.0962,-9.04268,-19.0618
-16.4788,-8.1734,-19.3892
-16.977,-9.01577,-19.0384
-19.3723,-7.52324,-19.6235
