Age,G,J_max,Active Areas
Y,0.38,0.32,0.0
Y,0.4,0.32,0.0
Y,0.42,0.32,0.0
Y,0.44,0.32,0.0
Y,0.46,0.32,22.0
Y,0.48,0.32,22.0
Y,0.5,0.32,24.0
Y,0.2,0.33,0.0
Y,0.22,0.33,0.0
Y,0.24,0.33,0.0
Y,0.26,0.33,0.0
Y,0.28,0.33,0.0
Y,0.3,0.33,0.0
Y,0.32,0.33,0.0
Y,0.34,0.33,0.0
Y,0.36,0.33,0.0
Y,0.38,0.33,0.0
Y,0.4,0.33,0.0
Y,0.42,0.33,0.0
Y,0.44,0.33,0.0
Y,0.46,0.33,22.0
Y,0.48,0.33,22.0
Y,0.5,0.33,24.11
Y,0.2,0.34,0.0
Y,0.22,0.34,0.0
Y,0.24,0.34,0.0
Y,0.26,0.34,0.0
Y,0.28,0.34,0.0
Y,0.3,0.34,0.0
Y,0.32,0.34,0.0
Y,0.34,0.34,0.0
Y,0.36,0.34,0.0
Y,0.38,0.34,0.0
Y,0.4,0.34,0.0
Y,0.42,0.34,0.0
Y,0.44,0.34,0.0
Y,0.46,0.34,22.0
Y,0.48,0.34,22.0
Y,0.5,0.34,24.55
Y,0.2,0.35,0.0
Y,0.22,0.35,0.0
Y,0.24,0.35,0.0
Y,0.26,0.35,0.0
Y,0.28,0.35,0.0
Y,0.3,0.35,0.0
Y,0.32,0.35,0.0
Y,0.34,0.35,0.0
Y,0.36,0.35,0.0
Y,0.38,0.35,0.0
Y,0.4,0.35,0.0
Y,0.42,0.35,0.0
Y,0.44,0.35,0.0
Y,0.46,0.35,22.0
Y,0.48,0.35,22.31
Y,0.5,0.35,24.95
Y,0.2,0.36,0.0
Y,0.22,0.36,0.0
Y,0.24,0.36,0.0
Y,0.26,0.36,0.0
Y,0.28,0.36,0.0
Y,0.3,0.36,0.0
Y,0.32,0.36,0.0
Y,0.34,0.36,0.0
Y,0.36,0.36,0.0
Y,0.38,0.36,0.0
Y,0.4,0.36,0.0
Y,0.42,0.36,0.0
Y,0.44,0.36,0.0
Y,0.46,0.36,22.0
Y,0.48,0.36,23.78
Y,0.5,0.36,25.0
Y,0.2,0.37,0.0
Y,0.22,0.37,0.0
Y,0.24,0.37,0.0
Y,0.26,0.37,0.0
Y,0.28,0.37,0.0
Y,0.3,0.37,0.0
